settlement_date,region,fuel_source,total_mw
2026/07/28 13:35:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 13:35:00,NSW1,Solar,3074.162
2026/07/28 13:35:00,NSW1,Unknown,87.337
2026/07/28 13:35:00,NSW1,Wind,1104.709
2026/07/28 13:35:00,QLD1,Bagasse,-2.7
2026/07/28 13:35:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 13:35:00,QLD1,Battery Storage,-1122.972
2026/07/28 13:35:00,QLD1,Black Coal,3806.168
2026/07/28 13:35:00,QLD1,Coal Seam Methane,0.524
2026/07/28 13:35:00,QLD1,Hydro,53.192
2026/07/28 13:35:00,QLD1,Kerosene,0.878
2026/07/28 13:35:00,QLD1,Natural Gas,129.317
2026/07/28 13:35:00,QLD1,Solar,2333.864
2026/07/28 13:35:00,QLD1,Unknown,243.36
2026/07/28 13:35:00,QLD1,Waste Coal Mine Gas,30.244
2026/07/28 13:35:00,QLD1,Wind,68.257
2026/07/28 13:35:00,SA1,Battery Storage,-22.581
2026/07/28 13:35:00,SA1,Diesel,-0.2
2026/07/28 13:35:00,SA1,Natural Gas,43.463
2026/07/28 13:35:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 13:35:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 13:35:00,SA1,Solar,146.075
2026/07/28 13:35:00,SA1,Wind,723.473
2026/07/28 13:35:00,TAS1,Hydro,271.882
2026/07/28 13:35:00,TAS1,Natural Gas,124.44
2026/07/28 13:35:00,TAS1,Wind,494.074
2026/07/28 13:35:00,VIC1,Battery Storage,-291.278
2026/07/28 13:35:00,VIC1,Brown Coal,3021.75
2026/07/28 13:35:00,VIC1,Hydro,90.3
2026/07/28 13:35:00,VIC1,Natural Gas,0.0
2026/07/28 13:35:00,VIC1,Solar,638.318
2026/07/28 13:35:00,VIC1,Wind,2866.788
2026/07/28 16:40:00,NSW1,Bagasse,45.874
2026/07/28 16:40:00,NSW1,Battery Storage,565.623
2026/07/28 16:40:00,NSW1,Black Coal,5471.548
2026/07/28 16:40:00,NSW1,Diesel,0.0
2026/07/28 16:40:00,NSW1,Hydro,433.31
2026/07/28 16:40:00,NSW1,Natural Gas,42.15
2026/07/28 16:40:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 16:40:00,NSW1,Solar,927.47
2026/07/28 16:40:00,NSW1,Unknown,0.0
2026/07/28 16:40:00,NSW1,Wind,1175.657
2026/07/28 16:40:00,QLD1,Bagasse,9.3
2026/07/28 16:40:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 16:40:00,QLD1,Battery Storage,281.206
2026/07/28 16:40:00,QLD1,Black Coal,5174.45
2026/07/28 16:40:00,QLD1,Coal Seam Methane,0.524
2026/07/28 16:40:00,QLD1,Hydro,277.695
2026/07/28 16:40:00,QLD1,Kerosene,0.878
2026/07/28 16:40:00,QLD1,Natural Gas,320.478
2026/07/28 16:40:00,QLD1,Solar,612.583
2026/07/28 16:40:00,QLD1,Unknown,0.0
2026/07/28 16:40:00,QLD1,Waste Coal Mine Gas,40.311
2026/07/28 16:40:00,QLD1,Wind,47.857
2026/07/28 16:40:00,SA1,Battery Storage,-61.139
2026/07/28 16:40:00,SA1,Diesel,-0.1
2026/07/28 16:40:00,SA1,Natural Gas,43.463
2026/07/28 16:40:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 16:40:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 16:40:00,SA1,Solar,78.177
2026/07/28 16:40:00,SA1,Wind,1556.658
2026/07/28 16:40:00,TAS1,Hydro,1072.127
2026/07/28 16:40:00,TAS1,Natural Gas,123.66
2026/07/28 16:40:00,TAS1,Wind,493.433
2026/07/28 16:40:00,VIC1,Battery Storage,590.26
2026/07/28 16:40:00,VIC1,Brown Coal,3739.75
2026/07/28 16:40:00,VIC1,Hydro,1.91
2026/07/28 16:40:00,VIC1,Natural Gas,0.0
2026/07/28 16:40:00,VIC1,Solar,106.021
2026/07/28 16:40:00,VIC1,Wind,2716.634
2026/07/28 16:50:00,NSW1,Bagasse,45.197
2026/07/28 16:50:00,NSW1,Battery Storage,165.672
2026/07/28 16:50:00,NSW1,Black Coal,5880.906
2026/07/28 16:50:00,NSW1,Diesel,0.0
2026/07/28 16:50:00,NSW1,Hydro,550.3
2026/07/28 16:50:00,NSW1,Natural Gas,41.87
2026/07/28 16:50:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 16:50:00,NSW1,Solar,675.743
2026/07/28 16:50:00,NSW1,Unknown,0.0
2026/07/28 16:50:00,NSW1,Wind,1216.544
2026/07/28 16:50:00,QLD1,Bagasse,10.8
2026/07/28 16:50:00,QLD1,Bagasse / Diesel,10.1
2026/07/28 16:50:00,QLD1,Battery Storage,453.322
2026/07/28 16:50:00,QLD1,Black Coal,5372.52
2026/07/28 16:50:00,QLD1,Coal Seam Methane,0.524
2026/07/28 16:50:00,QLD1,Hydro,358.528
2026/07/28 16:50:00,QLD1,Kerosene,0.878
2026/07/28 16:50:00,QLD1,Natural Gas,329.87
2026/07/28 16:50:00,QLD1,Solar,535.314
2026/07/28 16:50:00,QLD1,Unknown,0.0
2026/07/28 16:50:00,QLD1,Waste Coal Mine Gas,40.27
2026/07/28 16:50:00,QLD1,Wind,53.283
2026/07/28 16:50:00,SA1,Battery Storage,-33.518
2026/07/28 16:50:00,SA1,Diesel,-0.1
2026/07/28 16:50:00,SA1,Natural Gas,43.463
2026/07/28 16:50:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 16:50:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 16:50:00,SA1,Solar,130.196
2026/07/28 16:50:00,SA1,Wind,1613.208
2026/07/28 16:50:00,TAS1,Hydro,1194.46
2026/07/28 16:50:00,TAS1,Natural Gas,123.48
2026/07/28 16:50:00,TAS1,Wind,508.986
2026/07/28 16:50:00,VIC1,Battery Storage,-97.747
2026/07/28 16:50:00,VIC1,Brown Coal,4020.625
2026/07/28 16:50:00,VIC1,Hydro,1.81
2026/07/28 16:50:00,VIC1,Natural Gas,0.0
2026/07/28 16:50:00,VIC1,Solar,114.005
2026/07/28 16:50:00,VIC1,Wind,3357.902
2026/07/28 19:30:00,NSW1,Bagasse,40.869
2026/07/28 19:30:00,NSW1,Battery Storage,957.581
2026/07/28 19:30:00,NSW1,Black Coal,6644.81
2026/07/28 19:30:00,NSW1,Diesel,0.0
2026/07/28 19:30:00,NSW1,Hydro,736.4
2026/07/28 19:30:00,NSW1,Natural Gas,45.84
2026/07/28 19:30:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 19:30:00,NSW1,Solar,-0.211
2026/07/28 19:30:00,NSW1,Unknown,0.0
2026/07/28 19:30:00,NSW1,Wind,1500.498
2026/07/28 19:30:00,QLD1,Bagasse,10.3
2026/07/28 19:30:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 19:30:00,QLD1,Battery Storage,760.946
2026/07/28 19:30:00,QLD1,Black Coal,5773.783
2026/07/28 19:30:00,QLD1,Coal Seam Methane,0.524
2026/07/28 19:30:00,QLD1,Hydro,273.522
2026/07/28 19:30:00,QLD1,Kerosene,0.878
2026/07/28 19:30:00,QLD1,Natural Gas,351.597
2026/07/28 19:30:00,QLD1,Solar,-0.1
2026/07/28 19:30:00,QLD1,Unknown,0.0
2026/07/28 19:30:00,QLD1,Waste Coal Mine Gas,46.275
2026/07/28 19:30:00,QLD1,Wind,370.002
2026/07/28 19:30:00,SA1,Battery Storage,5.002
2026/07/28 19:30:00,SA1,Diesel,-0.1
2026/07/28 19:30:00,SA1,Natural Gas,332.845
2026/07/28 19:30:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 19:30:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 19:30:00,SA1,Solar,0.0
2026/07/28 19:30:00,SA1,Wind,1770.117
2026/07/28 19:30:00,TAS1,Hydro,1325.813
2026/07/28 19:30:00,TAS1,Natural Gas,123.57
2026/07/28 19:30:00,TAS1,Wind,403.026
2026/07/28 19:30:00,VIC1,Battery Storage,145.079
2026/07/28 19:30:00,VIC1,Brown Coal,4714.781
2026/07/28 19:30:00,VIC1,Hydro,64.89
2026/07/28 19:30:00,VIC1,Natural Gas,0.0
2026/07/28 19:30:00,VIC1,Solar,0.0
2026/07/28 19:30:00,VIC1,Wind,3221.95
2026/07/28 19:45:00,NSW1,Bagasse,37.038
2026/07/28 19:45:00,NSW1,Battery Storage,806.696
2026/07/28 19:45:00,NSW1,Black Coal,6607.992
2026/07/28 19:45:00,NSW1,Diesel,0.0
2026/07/28 19:45:00,NSW1,Hydro,758.83
2026/07/28 19:45:00,NSW1,Natural Gas,45.45
2026/07/28 19:45:00,NSW1,Natural Gas / Diesel,0.0
2026/07/28 19:45:00,NSW1,Solar,-0.2
2026/07/28 19:45:00,NSW1,Unknown,0.0
2026/07/28 19:45:00,NSW1,Wind,1524.271
2026/07/28 19:45:00,QLD1,Bagasse,10.3
2026/07/28 19:45:00,QLD1,Bagasse / Diesel,10.0
2026/07/28 19:45:00,QLD1,Battery Storage,749.3
2026/07/28 19:45:00,QLD1,Black Coal,5709.881
2026/07/28 19:45:00,QLD1,Coal Seam Methane,0.524
2026/07/28 19:45:00,QLD1,Hydro,276.278
2026/07/28 19:45:00,QLD1,Kerosene,0.878
2026/07/28 19:45:00,QLD1,Natural Gas,352.655
2026/07/28 19:45:00,QLD1,Solar,-0.1
2026/07/28 19:45:00,QLD1,Unknown,0.0
2026/07/28 19:45:00,QLD1,Waste Coal Mine Gas,43.388
2026/07/28 19:45:00,QLD1,Wind,398.111
2026/07/28 19:45:00,SA1,Battery Storage,94.475
2026/07/28 19:45:00,SA1,Diesel,-0.1
2026/07/28 19:45:00,SA1,Natural Gas,317.113
2026/07/28 19:45:00,SA1,Natural Gas / Diesel,0.0
2026/07/28 19:45:00,SA1,Natural Gas / Fuel Oil,0.0
2026/07/28 19:45:00,SA1,Solar,0.0
2026/07/28 19:45:00,SA1,Wind,1789.233
